,p,r,f,s
flight_number,1.0,0.45454545454545453,0.625,11
toloc.country_name,1.0,1.0,1.0,1
cost_relative,1.0,0.972972972972973,0.9863013698630138,37
airport_name,0.7142857142857143,0.23809523809523808,0.35714285714285715,21
depart_date.month_name,0.9032258064516129,1.0,0.9491525423728813,56
flight,1.0,0.0,0.0,1
round_trip,1.0,0.9726027397260274,0.9861111111111112,73
return_date.day_name,1.0,0.0,0.0,2
arrive_time.time,0.6764705882352942,0.6764705882352942,0.6764705882352942,34
period_of_day,1.0,0.0,0.0,4
fromloc.airport_code,0.7142857142857143,1.0,0.8333333333333333,5
flight_time,1.0,1.0,1.0,1
stoploc.airport_code,1.0,0.0,0.0,1
fromloc.city_name,0.738191632928475,0.7769886363636364,0.7570934256055364,704
depart_time.end_time,0.0,0.0,0.0,3
arrive_date.month_name,1.0,0.0,0.0,6
toloc.airport_name,0.0,0.0,0.0,3
transport_type,0.9,0.9,0.9,10
mod,1.0,0.0,0.0,2
flight_mod,0.7727272727272727,0.7083333333333334,0.7391304347826088,24
arrive_time.start_time,1.0,0.25,0.4,8
depart_date.today_relative,0.9,1.0,0.9473684210526316,9
toloc.city_name,0.6759847522236341,0.7430167597765364,0.7079174983366601,716
toloc.airport_code,1.0,0.0,0.0,4
booking_class,1.0,0.0,0.0,1
meal_code,0.0,0.0,0.0,1
arrive_time.time_relative,0.6486486486486487,0.7741935483870968,0.7058823529411764,31
arrive_date.day_number,1.0,0.0,0.0,6
arrive_time.period_of_day,0.0,0.0,0.0,6
depart_date.day_number,0.8852459016393442,0.9818181818181818,0.9310344827586207,55
depart_time.period_of_day,0.92,0.8846153846153846,0.9019607843137256,130
arrive_date.date_relative,0.0,0.0,0.0,2
depart_date.year,1.0,1.0,1.0,3
toloc.state_code,0.43902439024390244,1.0,0.6101694915254238,18
depart_time.time,0.6447368421052632,0.8596491228070176,0.7368421052631579,57
fromloc.state_name,0.8333333333333334,0.5882352941176471,0.6896551724137931,17
day_name,1.0,0.0,0.0,2
city_name,0.3,0.05263157894736842,0.08955223880597013,57
flight_days,1.0,1.0,1.0,10
meal_description,1.0,0.9,0.9473684210526316,10
flight_stop,0.9545454545454546,1.0,0.9767441860465117,21
airline_code,0.9655172413793104,0.8235294117647058,0.888888888888889,34
arrive_time.end_time,0.2,0.125,0.15384615384615385,8
fromloc.state_code,1.0,0.043478260869565216,0.08333333333333333,23
or,0.6,1.0,0.7499999999999999,3
fromloc.airport_name,0.47368421052631576,0.75,0.5806451612903226,12
aircraft_code,1.0,0.48484848484848486,0.653061224489796,33
meal,1.0,1.0,1.0,16
restriction_code,1.0,0.75,0.8571428571428571,4
connect,1.0,1.0,1.0,6
state_code,1.0,0.0,0.0,1
fare_amount,1.0,1.0,1.0,2
state_name,1.0,0.0,0.0,9
arrive_date.day_name,0.5,0.09090909090909091,0.15384615384615385,11
depart_time.start_time,0.5,0.3333333333333333,0.4,3
depart_date.date_relative,0.8421052631578947,0.9411764705882353,0.8888888888888888,17
fare_basis_code,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
return_date.date_relative,0.5,0.3333333333333333,0.4,3
stoploc.city_name,0.0,0.0,0.0,20
class_type,0.9230769230769231,1.0,0.9600000000000001,24
compartment,1.0,0.0,0.0,1
airport_code,1.0,0.1111111111111111,0.19999999999999998,9
economy,1.0,1.0,1.0,6
depart_time.time_relative,0.8793103448275862,0.7846153846153846,0.8292682926829268,65
airline_name,0.9607843137254902,0.9702970297029703,0.9655172413793103,101
depart_time.period_mod,0.45454545454545453,1.0,0.625,5
days_code,1.0,1.0,1.0,1
toloc.state_name,0.5833333333333334,0.75,0.6562499999999999,28
depart_date.day_name,0.9417040358744395,0.9905660377358491,0.9655172413793105,212
total,0.7700781805259417,0.763835037010927,0.7669439037338525,2837
